categoria|centroide_lat|centroide_lon|fuente|id|iso_id|iso_nombre|nombre|nombre_completo|poblacion|poblacion_urbana|poblacion_rural|superficie|densidad
Provincia|-36.6769415180527|-60.5588319815719|IGN|6|AR-B|Buenos Aires|Buenos Aires|Provincia de Buenos Aires|15625084|15190440|434644|307571|50.8
Provincia|-27.3358332810217|-66.9476824299928|IGN|10|AR-K|Catamarca|Catamarca|Provincia de Catamarca|367828|283706|84122|102602|3.6
Provincia|-26.3864309061226|-60.7658307438603|IGN|22|AR-H|Chaco|Chaco|Provincia del Chaco|1055259|892688|162571|99633|10.6
Provincia|-43.7886233529878|-68.5267593943345|IGN|26|AR-U|Chubut|Chubut|Provincia del Chubut|509108|464268|4484|224686|2.3
Ciudad Autónoma|-34.6144934119689|-58.4458563545429|IGN|2|AR-C|Ciudad Autónoma de Buenos Aires|Ciudad Autónoma de Buenos Aires|Ciudad Autónoma de Buenos Aires|2890151|2890151|0|200|14450.8
Provincia|-32.142932663607|-63.8017532741662|IGN|14|AR-X|Córdoba|Córdoba|Provincia de Córdoba|3308876|2966815|342061|165321|20
Provincia|-28.7743047046407|-57.8012191977913|IGN|18|AR-W|Corrientes|Corrientes|Provincia de Corrientes|992595|822224|170371|88199|11.3
Provincia|-32.0588735436448|-59.2014475514635|IGN|30|AR-E|Entre Ríos|Entre Ríos|Provincia de Entre Ríos|1235994|1059537|176457|78781|15.7
Provincia|-24.894972594871|-59.9324405800872|IGN|34|AR-P|Formosa|Formosa|Provincia de Formosa|530162|428703|101459|72066|7.4
Provincia|-23.3200784211351|-65.7642522180337|IGN|38|AR-Y|Jujuy|Jujuy|Provincia de Jujuy|673307|58857|84737|53219|12.7
Provincia|-37.1315537735949|-65.4466546606951|IGN|42|AR-L|La Pampa|La Pampa|Provincia de La Pampa|318951|265306|53645|14344|2.2
Provincia|-29.685776298315|-67.1817359694432|IGN|46|AR-F|La Rioja|La Rioja|Provincia de La Rioja|333642|288518|45124|8968|3.7
Provincia|-34.6298873058957|-68.5831228183798|IGN|50|AR-M|Mendoza|Mendoza|Provincia de Mendoza|1738929|1406283|332646|148827|11.7
Provincia|-26.8753965086829|-54.6516966230371|IGN|54|AR-N|Misiones|Misiones|Provincia de Misiones|1101593|812554|289039|29801|37
Provincia|-38.6417575824599|-70.1185705180601|IGN|58|AR-Q|Neuquén|Neuquén|Provincia del Neuquén|551266|505012|46254|94078|5.9
Provincia|-40.4057957178801|-67.229329893694|IGN|62|AR-R|Río Negro|Río Negro|Provincia de Río Negro|638645|55597|82675|203013|3.1
Provincia|-24.2991344492002|-64.8144629600627|IGN|66|AR-A|Salta|Salta|Provincia de Salta|1214441|1057951|15649|155488|7.8
Provincia|-30.8653679979618|-68.8894908486844|IGN|70|AR-J|San Juan|San Juan|Provincia de San Juan|681055|593383|87672|89651|7.6
Provincia|-33.7577257449137|-66.0281298195836|IGN|74|AR-D|San Luis|San Luis|Provincia de San Luis|43231|38334|4897|76748|5.6
Provincia|-48.8154851827063|-69.9557621671973|IGN|78|AR-Z|Santa Cruz|Santa Cruz|Provincia de Santa Cruz|273964|263243|10721|243943|1.1
Provincia|-30.7069271588117|-60.9498369430241|IGN|82|AR-S|Santa Fe|Santa Fe|Provincia de Santa Fe|3194537|2902245|292292|133007|24
Provincia|-27.7824116550944|-63.2523866568588|IGN|86|AR-G|Santiago del Estero|Santiago del Estero|Provincia de Santiago del Estero|874006|600429|273577|136351|6.4
Provincia|-82.52151781221|-50.7427486049785|IGN|94|AR-V|Tierra del Fuego|Tierra del Fuego, Antártida e Islas del Atlántico Sur|Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur|127205|125694|1511|1002445|0.1
Provincia|-26.9478001830786|-65.3647579441481|IGN|90|AR-T|Tucumán|Tucumán|Provincia de Tucumán|1448188|1170302|277886|22524|64.3
