fecha,temp-min,temp-max,viento-const-max,viento-rafagas,precipitacion,presion
2020-10-28,13,22,22 ,45 ,N/A,1009.8
2020-10-27,14,23,22 ,N/A,0,1011.1
2020-10-26,16,22,21 ,37 ,18,1011.9
2020-10-25,17,22,28 ,N/A,8.1,1008.8
2020-10-24,16,21,26 ,N/A,0,1013.7
2020-10-23,14,21,N/A,N/A,0,1015.7
2020-10-22,14,17,46 ,59 ,21,1021.2
2020-10-21,12,17,41 ,54 ,N/A,1026.2
2020-10-20,12,26,52 ,65 ,39.8,1020
2020-10-19,22,29,35 ,N/A,0,1008.2
2020-10-18,19,27,21 ,N/A,0,1009.1
2020-10-17,18,22,N/A,N/A,2,1015.2
2020-10-16,15,21,26 ,N/A,0,1020.8
2020-10-15,13,24,32 ,N/A,0,1022.5
2020-10-14,16,24,15 ,N/A,0,1015
2020-10-13,13,23,13 ,N/A,0,1017.1
2020-10-12,11,22,16 ,N/A,0,1016.6
2020-10-11,13,20,28 ,46 ,0.2,1013.4
2020-10-10,12,25,26 ,N/A,0,1016.3
2020-10-09,13,24,82 ,N/A,0,1014.5
2020-10-08,12,26,22 ,N/A,0,1017.2
2020-10-07,12,26,15 ,28 ,0,1014.8
2020-10-06,11,18,16 ,N/A,0,1016.7
2020-10-05,11,18,21 ,35 ,4.3,1016.6
2020-10-04,9,16,42 ,59 ,0,1024.9
2020-10-03,7,15,39 ,55 ,0,1030.6
2020-10-02,9,21,42 ,45 ,0,1019.5
2020-10-01,14,24,15 ,N/A,0,1008.4
2020-09-30,16,23,15 ,N/A,0,1007.4
2020-09-29,13,23,N/A,N/A,0,1011.4
2020-09-28,9,23,15 ,N/A,2,1012.1
2020-09-27,14,20,22 ,34 ,0,1005.6
2020-09-26,14,19,35 ,59 ,35,1009.7
2020-09-25,15,20,34 ,45 ,N/A,1016.5
2020-09-24,13,21,29 ,N/A,0,1020.2
2020-09-23,11,21,15 ,N/A,0,1021
2020-09-22,10,17,21 ,N/A,0,1023.1
2020-09-21,7,20,N/A,N/A,0,1025.4
2020-09-20,8,20,21 ,39 ,0,1023.5
2020-09-19,10,20,21 ,39 ,0,1021
2020-09-18,14,26,22 ,N/A,0,1010.5
2020-09-17,10,26,22 ,N/A,0,1013.6
2020-09-16,10,17,15 ,N/A,0,1017.2
2020-09-15,10,15,28 ,N/A,0,1023
2020-09-14,9,18,15 ,35 ,0,1026.9
2020-09-13,9,18,N/A,N/A,0,1015.7
2020-09-12,10,20,22 ,N/A,0,1017.6
2020-09-11,13,20,N/A,35 ,0,1012.8
2020-09-10,13,18,21 ,N/A,0,1017.1
2020-09-09,13,19,21 ,N/A,0,1017.1
2020-09-08,11,18,26 ,N/A,0,1020.9
2020-09-07,8,15,26 ,N/A,0,1025.7
2020-09-06,8,15,28 ,N/A,0,1026.1
2020-09-05,11,17,35 ,46 ,0,1022.3
2020-09-04,7,16,21 ,N/A,0,1018.7
2020-09-03,8,13,16 ,N/A,0,1015.3
2020-09-02,9,12,41 ,63 ,16,1020.6
2020-09-01,8,13,39 ,N/A,N/A,1033.4
2020-08-31,5,13,26 ,N/A,0,1029.5
2020-08-30,3,15,22 ,N/A,0.2,1024.8
2020-08-29,13,16,29 ,N/A,9.9,1014.3
2020-08-28,12,16,24 ,N/A,0,1015.5
2020-08-27,11,21,22 ,39 ,14.9,1016.4
2020-08-26,14,20,24 ,42 ,0,1007.4
2020-08-25,14,20,22 ,N/A,0,1010.6
2020-08-24,12,20,21 ,N/A,0,1014.6
2020-08-23,9,17,N/A,N/A,0,1020.6
2020-08-22,7,17,16 ,N/A,0,1026.5
2020-08-21,5,17,N/A,N/A,0,1029.5
2020-08-20,4,13,15 ,N/A,0,1031.8
2020-08-19,6,21,24 ,48 ,151.8,1021.5
2020-08-18,10,21,15 ,N/A,0,1009.5
2020-08-17,7,19,N/A,N/A,0,1014
2020-08-16,4,19,37 ,45 ,0,1013.6
2020-08-15,8,17,N/A,N/A,0,1011.3
2020-08-14,7,18,13 ,N/A,0,1010.6
2020-08-12,4,15,N/A,N/A,0,1018.2
2020-08-11,6,17,16 ,39 ,0,1019.5
2020-08-10,13,18,N/A,42 ,0,1009.2
2020-08-09,11,17,22 ,N/A,0,1015.8
2020-08-08,10,17,29 ,N/A,N/A,1022
2020-08-07,10,17,32 ,N/A,13.9,1025.8
2020-08-06,11,23,29 ,37 ,N/A,1022.3
2020-08-05,15,22,13 ,N/A,0,1015.3
2020-08-04,12,21,11 ,N/A,0,1020.4
2020-08-03,12,21,29 ,N/A,0,1022.8
2020-08-02,11,20,21 ,N/A,0,1018.8
2020-08-01,8,16,N/A,N/A,0,1021.5
2020-07-31,8,14,24 ,N/A,0,1023.6
2020-07-30,6,14,22 ,N/A,0,1027
2020-07-29,3,13,15 ,N/A,0,1028.1
2020-07-28,3,15,21 ,N/A,0,1024.1
2020-07-27,8,17,16 ,34 ,0,1015.7
2020-07-26,5,16,24 ,N/A,0,1018
2020-07-25,4,14,16 ,N/A,0,1018.9
2020-07-24,6,14,22 ,N/A,2,1014.6
2020-07-23,11,15,15 ,N/A,5.3,1012.1
2020-07-22,12,16,16 ,N/A,N/A,1011.2
2020-07-21,12,22,16 ,N/A,0,1010.8
2020-07-20,13,22,11 ,N/A,0,1009.7
2020-07-19,11,21,22 ,N/A,0,1008.8
2020-07-18,9,16,13 ,N/A,0,1010.2
2020-07-17,9,13,N/A,N/A,0,1019.8
2020-07-16,5,13,13 ,N/A,0,1021.5
2020-07-15,4,12,16 ,N/A,0,1024
2020-07-14,3,13,13 ,26 ,0,1024.6
2020-07-13,8,15,21 ,34 ,0,1019.4
2020-07-12,6,15,16 ,32 ,0,1012.9
2020-07-11,5,17,N/A,N/A,0,1014.2
2020-07-10,7,15,59 ,N/A,0,1011.6
2020-07-09,6,15,N/A,N/A,0,1019.5
