fecha|max|min|estacion
10/29/20|18.8|11.6|AEROPARQUE AERO
10/28/20|20.5|13|AEROPARQUE AERO
10/27/20|20.5|13.6|AEROPARQUE AERO
10/26/20|22.7|15.6|AEROPARQUE AERO
10/25/20|21.8|17.3|AEROPARQUE AERO
10/24/20|21.2|16.4|AEROPARQUE AERO
10/23/20|21|16|AEROPARQUE AERO
10/22/20|17.3|14|AEROPARQUE AERO
10/21/20|16.8|12.2|AEROPARQUE AERO
10/20/20|18.6|12.1|AEROPARQUE AERO
10/19/20|25.8|18.4|AEROPARQUE AERO
10/18/20|28.5|19.8|AEROPARQUE AERO
10/17/20|22.2|18.5|AEROPARQUE AERO
10/16/20|21.6|16.3|AEROPARQUE AERO
10/15/20|21.4|12.6|AEROPARQUE AERO
10/14/20|24.2|15.5|AEROPARQUE AERO
10/13/20|21.1|14.6|AEROPARQUE AERO
10/12/20|22.5|11.2|AEROPARQUE AERO
10/11/20|19|13.3|AEROPARQUE AERO
10/10/20|19.6|12.2|AEROPARQUE AERO
10/09/20|24.5|13.3|AEROPARQUE AERO
10/08/20|21|12.4|AEROPARQUE AERO
10/07/20|25.8|12.3|AEROPARQUE AERO
10/06/20|18|10.6|AEROPARQUE AERO
10/05/20|18|11.3|AEROPARQUE AERO
10/04/20|15.5|8.8|AEROPARQUE AERO
10/03/20|11.6|6.8|AEROPARQUE AERO
10/02/20|17|9.3|AEROPARQUE AERO
10/01/20|20.9|14.2|AEROPARQUE AERO
09/30/20|23.5|16.3|AEROPARQUE AERO
09/29/20|21.6|13.8|AEROPARQUE AERO
09/28/20|22.8|8.8|AEROPARQUE AERO
09/27/20|17|13.4|AEROPARQUE AERO
09/26/20|19.5|14.2|AEROPARQUE AERO
09/25/20|18.4|14.4|AEROPARQUE AERO
09/24/20|20|12.8|AEROPARQUE AERO
09/23/20|20.8|13.2|AEROPARQUE AERO
09/22/20|17.7|9.8|AEROPARQUE AERO
09/21/20|17.1|7|AEROPARQUE AERO
09/20/20|20.3|8.3|AEROPARQUE AERO
09/19/20|16.5|10.3|AEROPARQUE AERO
09/18/20|21.5|14.3|AEROPARQUE AERO
09/17/20|26|9.8|AEROPARQUE AERO
09/16/20|16.5|9.9|AEROPARQUE AERO
09/15/20|15|10.3|AEROPARQUE AERO
09/14/20|15.6|8.8|AEROPARQUE AERO
